Label,Study
Abeler et al. (AER 2011),1
Ambrus and Greiner (AER 2012),2
Bartling et al. (AER 2012),3
Charness and Dufwenberg (AER 2011),4
Chen and Chen (AER 2011),5
de Clippel et al. (AER 2014),6
Duffy and Puzzello (AER 2014),7
Dulleck et al. (AER 2011),8
Ericson and Fuster (QJE 2011),18
Fehr et al. (AER 2013),9
Friedman and Oprea (AER 2012),10
Fudenberg et al. (AER 2012),11
Huck et al. (AER 2011),12
Ifcher and Zarghamee (AER 2011),13
Kessler and Roth (AER 2012),14
Kirchler et al (AER 2012),15
Kogan et al. (AER 2011),16
Kuziemko et al. (QJE 2014),17