Authors,Journal,1st_author
Ackerman et al.,Science,Ackerman
Aviezer et al.,Science,Aviezer
Balafoutas and Sutter,Science,Balafoutas
Derex et al.,Nature,Derex
Duncan et al.,Science,Duncan
Gervais and Norenzayan,Science,Gervais
Gneezy et al.,Science,Gneezy
Hauser et al.,Nature,Hauser
Janssen et al.,Science,Janssen
Karpicke and Blunt,Science,Karpicke
Kidd and Castano,Science,Kidd
Kovacs et al.,Science,Kovacs
Lee and Schwarz,Science,Lee
Morewedge et al.,Science,Morewedge
Nishi et al.,Nature,Nishi
Pyc and Rawson,Science,Pyc
Ramirez and Beilock,Science,Ramirez
Rand et al.,Nature,Rand
Shah et al.,Science,Shah
Sparrow et al.,Science,Sparrow
Wilson et al.,Science,Wilson