Name (year),Shorted Name (year)
Kruger et al. (1996),Kruger et al. (1996)
"Watkins, Cruz and Pollitt (1996)",Watkins et al. (1996)
Donnen et al. (1998),Donnen et al. (1998)
"Awasthi, Pande and Fletcher (2000)",Awasthi et al. (2000)
Dossa and Ategbo (2001),Dossa and Ategbo (2001)
Dossa and Ategbo (2001),Dossa and Ategbo (2001)
Alderman et al. (2006),Alderman et al. (2006)
Awasthi et al. (2008),Awasthi et al. (2008)
Awasthi and Pande (2001),Awasthi and Pande (2001)
Hall et al. (2006),Hall et al. (2006)
Sur et al. (2005),Sur et al. (2005)
"Willett, Kilama and Kihamia (1979)",Willett et al. (1979)
Joseph et al. (2015),Joseph et al. (2015)
Miguel and Kremer (2004),Miguel and Kremer (2004)
Ndibazza et al. (2012),Ndibazza et al. (2012)
Gupta and Urrutia (1982),Gupta and Urrutia (1982)
Gupta and Urrutia (1982),Gupta and Urrutia (1982)
Ostwald et al. (1984),Ostwald et al. (1984)
"Gateff, Lemarinier and Labusquiere (1972)",Gateff et al. (1972)
Wiria et al. (2013),Wiria et al. (2013)
Liu et al. (2016),Liu et al. (2016)
Stephenson et al. (1993),Stephenson et al. (1993)